domain,domain_category,domain_is_control,date,start_time,end_time,retry,server_ip,server_netblock,server_asn,server_as_name,server_as_full_name,server_as_class,server_country,server_organization,received_error,received_tls_version,received_tls_cipher_suite,received_tls_cert,received_tls_cert_matches_domain,received_tls_cert_common_name,received_tls_cert_issuer,received_tls_cert_alternative_names,received_status,received_headers,received_body,is_known_blockpage,page_signature,outcome,matches_template,no_response_in_measurement_matches_template,controls_failed,stateful_block,measurement_id,source
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-09-01,2022-09-01 06:00:38.294203 UTC,2022-09-01 06:00:38.672291 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,dee0ed29261d5bc3ab28a3dcb04efb9e,CP_Quack-http-2022-09-01-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-09-01,2022-09-01 06:00:48.273112 UTC,2022-09-01 06:00:48.641841 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,a49fe96cddd657ccb6c889d78bf0524f,CP_Quack-http-2022-09-01-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-09-01,2022-09-01 06:00:38.299144 UTC,2022-09-01 06:00:38.891729 UTC,0,95.85.124.61,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,d767b9cd0b365fc8a6e5d02be55aa3b1,CP_Quack-http-2022-09-01-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-11-28,2022-11-28 07:03:37.969260 UTC,2022-11-28 07:03:38.341895 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,5d89d3dae32f50cfbfc4d163234f9e7b,CP_Quack-http-2022-11-28-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-03-10,2022-03-10 06:59:59.418592 UTC,2022-03-10 06:59:59.821972 UTC,0,95.85.120.143,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,ee81e1072643574fb75b1643adcd09b7,CP_Quack-http-2022-03-10-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-03-10,2022-03-10 07:00:19.442923 UTC,2022-03-10 07:00:19.846057 UTC,0,217.174.238.99,217.174.224.0/20,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,96f94087d9435fb9aed5448d5f451281,CP_Quack-http-2022-03-10-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-03-10,2022-03-10 07:00:09.428437 UTC,2022-03-10 07:00:09.832113 UTC,0,95.85.120.174,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,1a62e23dab7b5ada98a31cf596261291,CP_Quack-http-2022-03-10-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-03-10,2022-03-10 06:59:59.416532 UTC,2022-03-10 06:59:59.813600 UTC,0,217.174.238.158,217.174.224.0/20,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,5e920969c4a95534ab5f0890d2001b14,CP_Quack-http-2022-03-10-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-03-10,2022-03-10 07:00:19.444333 UTC,2022-03-10 07:00:19.845132 UTC,0,95.85.120.184,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,6f65d5e5e466508a89b3b31924125c94,CP_Quack-http-2022-03-10-01-01-01
cdn.sstatic.net,Hosting and Blogging Platforms,false,2022-11-03,2022-11-03 06:00:56.606044 UTC,2022-11-03 06:00:56.996211 UTC,0,95.85.120.114,95.85.96.0/19,20661,TurkmenTelecom-AS,State Company of Electro Communications Turkmentelecom,Transit/Access,TM,Ttelecom,,,,,,,,[],,[],,,,expected/match,true,false,false,false,c31df42fe7115034ac913dae8c57a489,CP_Quack-http-2022-11-03-01-01-01
