date,fingerprint,type,bytes,num_instances,coverage
2023-04-10,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,2424493305472.24,12.00,12.00
2023-04-11,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15546141480.23,12.00,12.00
2023-04-11,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,310737691098.45,12.00,12.00
2023-04-11,5481936581E23D2D178105D44DB6915AB06BFB7F,read,26393946837187.82,12.00,12.00
2023-04-11,5481936581E23D2D178105D44DB6915AB06BFB7F,write,26509482150495.88,12.00,12.00
2023-04-11,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,1792704907.90,12.00,12.00
2023-04-11,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,46046067164.15,12.00,12.00
2023-04-11,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,2492473028079.19,12.00,12.00
2023-04-11,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,2485908845189.80,12.00,12.00
2023-04-12,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,15958772603.31,12.00,12.00
2023-04-12,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,286082535603.11,12.00,12.00
2023-04-12,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27240228202334.55,12.00,12.00
2023-04-12,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27324736774302.06,12.00,12.00
2023-04-12,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2181259872.32,12.00,12.00
2023-04-12,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,49577703884.42,12.00,12.00
2023-04-12,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,read,2925554073511.93,12.00,12.00
2023-04-12,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,write,2917986558563.85,12.00,12.00
2023-04-13,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-read,14651420927.38,12.00,12.00
2023-04-13,5481936581E23D2D178105D44DB6915AB06BFB7F,dirreq-write,288779894688.85,12.00,12.00
2023-04-13,5481936581E23D2D178105D44DB6915AB06BFB7F,read,27395168965442.44,12.00,12.00
2023-04-13,5481936581E23D2D178105D44DB6915AB06BFB7F,write,27486395879179.80,12.00,12.00
2023-04-13,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-read,2187505113.03,12.00,12.00
2023-04-13,91DA221A149007D0FD9E5515F5786C3DD07E4BB0,dirreq-write,51070463259.57,12.00,12.00
