date,fingerprint,transport,users,num_instances,coverage
2017-06-06,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.14,1.00,1.00
2017-06-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-07,7659DA0F96B156C322FBFF3ACCC9B9DC01C27C73,<OR>,0.00,1.00,0.68
2017-06-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.46,1.00,1.00
2017-06-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.14,1.00,1.00
2017-06-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.46,1.00,1.00
2017-06-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,1.14,1.00,1.00
2017-06-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.37,1.00,1.00
2017-06-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.06,1.00,1.07
2017-06-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.74,1.00,1.86
2017-06-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.16,1.00,0.40
2017-06-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.35,1.00,0.89
2017-06-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-06-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-06-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-06-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
2017-07-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.97,1.00,1.00
2017-07-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.40,1.00,1.00
2017-07-21,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,0.63,1.00,1.00
