date,transport,users,frac
2018-03-23,snowflake,5.04,100.00
2018-03-24,snowflake,3.60,100.00
2018-03-25,snowflake,3.52,100.00
2018-03-26,snowflake,2.72,100.00
2018-03-27,snowflake,2.16,100.00
2018-03-28,snowflake,3.44,100.00
2018-03-29,snowflake,2.00,100.00
2018-03-30,snowflake,2.08,100.00
2018-03-31,snowflake,2.72,100.00
2018-04-01,snowflake,1.84,100.00
2018-04-02,snowflake,0.56,100.00
2018-04-03,snowflake,2.00,100.00
2018-04-04,snowflake,2.00,100.00
2018-04-05,snowflake,2.00,100.00
2018-04-06,snowflake,1.92,100.00
2018-04-07,snowflake,1.20,100.00
2018-04-08,snowflake,1.28,100.00
2018-04-09,snowflake,1.92,100.00
2018-04-10,snowflake,1.20,100.00
2018-04-11,snowflake,1.20,100.00
2018-04-12,snowflake,1.12,100.00
2018-04-13,snowflake,0.36,100.00
2018-04-14,snowflake,0.04,100.00
2018-04-15,snowflake,0.40,100.00
2018-04-16,snowflake,0.36,100.00
2018-04-17,snowflake,0.04,100.00
2018-04-18,snowflake,0.40,100.00
2018-04-19,snowflake,0.40,100.00
2018-04-20,snowflake,0.48,100.00
2018-04-21,snowflake,1.12,100.00
2018-04-22,snowflake,0.40,100.00
2018-04-23,snowflake,0.40,100.00
2018-04-24,snowflake,0.40,100.00
2018-04-25,snowflake,0.40,100.00
2018-04-26,snowflake,0.40,100.00
2018-04-27,snowflake,0.48,100.00
2018-04-28,snowflake,1.12,100.00
2018-04-29,snowflake,0.48,100.00
2018-04-30,snowflake,1.20,100.00
2018-05-01,snowflake,1.20,100.00
2018-05-02,snowflake,1.20,100.00
2018-05-03,snowflake,1.36,100.00
2018-05-04,snowflake,2.64,100.00
2018-05-05,snowflake,1.28,100.00
2018-05-06,snowflake,2.00,100.00
2018-05-07,snowflake,2.08,100.00
2018-05-08,snowflake,2.72,100.00
2018-05-09,snowflake,2.16,100.00
2018-05-10,snowflake,3.68,100.00
2018-05-11,snowflake,4.32,100.00
2018-05-12,snowflake,3.44,100.00
2018-05-13,snowflake,2.08,100.00
2018-05-14,snowflake,2.88,100.00
2018-05-15,snowflake,3.52,100.00
2018-05-16,snowflake,2.72,100.00
2018-05-17,snowflake,2.08,100.00
2018-05-18,snowflake,2.72,100.00
2018-05-19,snowflake,1.92,100.00
2018-05-20,snowflake,1.20,100.00
2018-05-21,snowflake,1.12,100.00
2018-05-22,snowflake,0.48,100.00
2018-05-23,snowflake,1.28,100.00
2018-05-24,snowflake,2.00,100.00
2018-05-25,snowflake,1.92,100.00
2018-05-26,snowflake,1.20,100.00
2018-05-27,snowflake,1.28,100.00
2018-05-28,snowflake,2.00,100.00
2018-05-29,snowflake,1.92,100.00
2018-05-30,snowflake,1.28,100.00
2018-05-31,snowflake,2.00,100.00
2018-06-01,snowflake,2.00,100.00
2018-06-02,snowflake,1.92,100.00
2018-06-03,snowflake,1.28,100.00
2018-06-04,snowflake,1.92,100.00
2018-06-05,snowflake,1.20,100.00
2018-06-06,snowflake,1.20,100.00
2018-06-07,snowflake,1.20,100.00
2018-06-08,snowflake,1.20,100.00
2018-06-09,snowflake,1.28,100.00
2018-06-10,snowflake,2.16,100.00
2018-06-11,snowflake,3.44,100.00
2018-06-12,snowflake,2.00,100.00
2018-06-13,snowflake,1.92,100.00
2018-06-14,snowflake,1.28,100.00
2018-06-15,snowflake,1.92,100.00
2018-06-16,snowflake,1.20,100.00
2018-06-17,snowflake,1.28,100.00
2018-06-18,snowflake,2.00,100.00
2018-06-19,snowflake,2.08,100.00
2018-06-20,snowflake,2.72,100.00
2018-06-21,snowflake,1.92,100.00
2018-06-22,snowflake,1.28,100.00
2018-06-23,snowflake,1.80,100.00
2018-07-15,snowflake,0.13,100.00
2018-07-16,snowflake,0.65,100.00
2018-07-17,snowflake,0.95,100.00
2018-07-18,snowflake,0.65,100.00
2018-07-19,snowflake,0.95,100.00
2018-07-20,snowflake,0.65,100.00
2018-07-21,snowflake,1.20,100.00
2018-07-22,snowflake,1.20,100.00
2018-07-23,snowflake,1.20,100.00
2018-07-24,snowflake,0.95,100.00
2018-07-25,snowflake,0.40,100.00
2018-07-26,snowflake,0.65,100.00
2018-07-27,snowflake,0.95,100.00
2018-07-28,snowflake,0.65,100.00
